started_at,ended_at,duration,start_station_id,start_station_name,start_station_description,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_description,end_station_latitude,end_station_longitude
2024-12-01 09:39:27.950000+00:00,2024-12-01 09:52:51.292000+00:00,803,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38174958551062,5.331698655041777,138,C. Sundts gate,Ved Nagelgården,60.39947506336557,5.308762204430565
2024-12-01 09:40:43.896000+00:00,2024-12-01 09:50:22.327000+00:00,578,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395143864343254,5.320002322335455,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38174958551062,5.331698655041777
2024-12-01 09:42:23.851000+00:00,2024-12-01 09:49:14.138000+00:00,410,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.3839343833222,5.333450454511649
2024-12-01 09:43:17.457000+00:00,2024-12-01 09:45:45.634000+00:00,148,22,Skur 11,Nord for skur 11,60.396384231131684,5.324169337618514,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351
2024-12-01 09:46:02.126000+00:00,2024-12-01 09:55:34.655000+00:00,572,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504,1891,Rosenbergsgaten,I nærheten av Rosenbergsgaten 34,60.38904687509401,5.321882967938819
2024-12-01 09:46:39.995000+00:00,2024-12-01 09:58:10.078000+00:00,690,117,Verftet,Ved kaien på ved Georgernes verft,60.395877002094046,5.307755827707297,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046
2024-12-01 09:50:04.255000+00:00,2024-12-01 09:58:59.208000+00:00,534,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504,797,John Lunds plass,John Lunds plass,60.38824732496974,5.324558211682643
2024-12-01 09:50:07.429000+00:00,2024-12-01 09:59:03.148000+00:00,535,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504,797,John Lunds plass,John Lunds plass,60.38824732496974,5.324558211682643
2024-12-01 09:50:18.681000+00:00,2024-12-01 09:55:37.145000+00:00,318,216,Johanneskirken,på Sydnesplassen,60.38853002489311,5.318665231464365,34,Cornerteateret, Ved BI,60.38246949877819,5.3260934892086595
2024-12-01 09:53:45.148000+00:00,2024-12-01 09:57:59.849000+00:00,254,217,Nykirkekaien,Langs C. Sundts gate,60.39705738914522,5.314548482139799,82,Den Nationale Scene,ved hovedinngangen,60.39245536165015,5.320185176096857
2024-12-01 09:54:29.352000+00:00,2024-12-01 10:02:17.273000+00:00,467,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743
2024-12-01 09:56:15.612000+00:00,2024-12-01 10:04:19.191000+00:00,483,22,Skur 11,Nord for skur 11,60.396384231131684,5.324169337618514,117,Verftet,Ved kaien på ved Georgernes verft,60.395877002094046,5.307755827707297
2024-12-01 09:57:52.838000+00:00,2024-12-01 10:18:24.967000+00:00,1232,98,Brann Stadion,Bak Frydenbøtribunen,60.367425453190464,5.3551910634374735,817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.394549852530844,5.327049981572372
2024-12-01 09:59:40.047000+00:00,2024-12-01 10:04:01.104000+00:00,261,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504,791,Busstasjonen 4 Sør,Mot ADO,60.387058789354164,5.335633911730724
2024-12-01 09:59:54.217000+00:00,2024-12-01 10:04:29.724000+00:00,275,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.3839343833222,5.333450454511649,641,Krohnviken,Ved Solheimsviken bobåthavn,60.37810721367397,5.3310207695192275
2024-12-01 10:04:27.701000+00:00,2024-12-01 10:17:35.034000+00:00,787,1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329,70,Laksevåg senter,Ved inngangen til Laksevåg senter,60.38963215691683,5.286516470683409
2024-12-01 10:09:10.050000+00:00,2024-12-01 10:22:45.814000+00:00,815,646,Bjørnsonsgate,Ved Årstad VGS,60.373985939857135,5.342082137178068,817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.394549852530844,5.327049981572372
2024-12-01 10:11:03.234000+00:00,2024-12-01 10:16:21.263000+00:00,318,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753,2322,Høyteknologisenteret,Utenfor hovedinngang,60.38174958551062,5.331698655041777
2024-12-01 10:26:07.531000+00:00,2024-12-01 10:30:29.466000+00:00,261,807,Dreggsallmenningen Nord,Vis a vis Bryggen Museum,60.398656493732524,5.3221425864564935,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351
2024-12-01 10:26:11.142000+00:00,2024-12-01 10:33:50.612000+00:00,459,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.3839343833222,5.333450454511649,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753
2024-12-01 10:26:32.668000+00:00,2024-12-01 10:30:27.438000+00:00,234,806,Dreggsallmenningen Sør,Radisson Blu Hotel,60.39770902893835,5.32200057798218,36,Torgallmenningen,Valkendorfsgaten / Torgallmenningen,60.39296632614153,5.323538420433351
2024-12-01 10:29:07.787000+00:00,2024-12-01 10:32:44.962000+00:00,217,1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329,214,Nygårdsporten,På østsiden av Nygårdsgaten,60.3839343833222,5.333450454511649
2024-12-01 10:31:42.746000+00:00,2024-12-01 10:53:21.868000+00:00,1299,638,Damsgårdsallmenningen,Nede ved kai,60.386709149786796,5.299130112557805,33,Høgskulen på Vestlandet,Ved hovedinngang til skolen,60.369179844976586,5.349443793165847
2024-12-01 10:35:30.383000+00:00,2024-12-01 10:44:23.542000+00:00,533,814,Nykirken,i Strandgaten,60.396949224333255,5.313494727727743,807,Dreggsallmenningen Nord,Vis a vis Bryggen Museum,60.398656493732524,5.3221425864564935
2024-12-01 10:39:14.994000+00:00,2024-12-01 10:43:57.498000+00:00,282,817,Nedre Korskirkeallmenning,Nedre Korskirkeallmenning 8,60.394549852530844,5.327049981572372,219,Jonsvollkvartalet,Jonsvollsgaten,60.39267683527631,5.317308285189142
2024-12-01 10:44:11.700000+00:00,2024-12-01 10:52:32.962000+00:00,501,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635
2024-12-01 10:44:31.496000+00:00,2024-12-01 10:57:51.157000+00:00,799,816,Østre Murallmenningen nedre,Ved inngang Gågaten,60.395143864343254,5.320002322335455,222,Sandviken Brygge,ved Måseskjæret,60.41294568274233,5.320870309021842
2024-12-01 10:44:38.043000+00:00,2024-12-01 10:52:39.502000+00:00,481,2336,Møllestranden,Ved badebrygge,60.380044402639385,5.350823586678217,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635
2024-12-01 10:47:16.852000+00:00,2024-12-01 10:48:43.758000+00:00,86,797,John Lunds plass,John Lunds plass,60.38824732496974,5.324558211682643,796,Strømgaten,"På hjørne Allégaten, Strømgaten",60.38658238047282,5.326041074182427
2024-12-01 10:50:43.594000+00:00,2024-12-01 10:57:34.818000+00:00,411,219,Jonsvollkvartalet,Jonsvollsgaten,60.39267683527631,5.317308285189142,794,St. Jakobs Plass,Langs Folkeuniversitetet,60.386681495848364,5.3309780770646
2024-12-01 10:51:58.374000+00:00,2024-12-01 11:03:47.127000+00:00,708,796,Strømgaten,"På hjørne Allégaten, Strømgaten",60.38658238047282,5.326041074182427,70,Laksevåg senter,Ved inngangen til Laksevåg senter,60.38963215691683,5.286516470683409
2024-12-01 10:55:37.698000+00:00,2024-12-01 11:07:04.403000+00:00,686,641,Krohnviken,Ved Solheimsviken bobåthavn,60.37810721367397,5.3310207695192275,789,Busstasjonen 1 Nord,Ved Bergen Busstasjon sin informasjon ,60.38890977889046,5.333817119783134
2024-12-01 10:56:13.865000+00:00,2024-12-01 11:06:14.340000+00:00,600,1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329,2336,Møllestranden,Ved badebrygge,60.380044402639385,5.350823586678217
2024-12-01 10:56:35.231000+00:00,2024-12-01 11:06:14.885000+00:00,579,1045,Damsgårdsveien 2,Ved Damsgårdsveien 34,60.37802198798124,5.329383048102329,2336,Møllestranden,Ved badebrygge,60.380044402639385,5.350823586678217
2024-12-01 10:58:21.444000+00:00,2024-12-01 11:08:16.507000+00:00,595,812,Hans Hauges gate,Jens Rolfens gate 6,60.40190553013225,5.324747767839426,49,Studentsenteret UiB,ved Parkveien / Olaf Ryes vei,60.38719801795013,5.322980046239536
2024-12-01 10:58:51.691000+00:00,2024-12-01 11:09:33.443000+00:00,641,34,Cornerteateret, Ved BI,60.38246949877819,5.3260934892086595,24,Studentboligene,ved Grønneviken og KMD fakultetet,60.37831673774707,5.350897458652753
2024-12-01 11:02:49.096000+00:00,2024-12-01 11:08:50.736000+00:00,361,75,Akvariet, Ved Akvariet og Havforskningsinstituttet,60.39987652272946,5.304686307890734,212,Klosteret,Strangehagen,60.395137943082446,5.314946630388022
2024-12-01 11:16:44.225000+00:00,2024-12-01 11:24:05.025000+00:00,440,132,Nøstetorget,Sukkerhusbryggen,60.39228413403305,5.314705281519707,819,Thormøhlens gate,Lang mur ved Fotballbanen,60.38316244112318,5.324053067317891
2024-12-01 11:17:34.490000+00:00,2024-12-01 11:21:12.908000+00:00,218,808,Damsgårdsveien 71,By walkway to Damsgårdsveien 69-71,60.380262713779956,5.323223146883635,639,Frydenbø Marina,Under overbygg v/nr. 135,60.384467341026586,5.310007717995973
2024-12-01 11:21:46.303000+00:00,2024-12-01 11:49:41.502000+00:00,1675,2336,Møllestranden,Ved badebrygge,60.380044402639385,5.350823586678217,70,Laksevåg senter,Ved inngangen til Laksevåg senter,60.38963215691683,5.286516470683409
2024-12-01 11:22:02.403000+00:00,2024-12-01 11:26:11.337000+00:00,248,150,Torget,Ved busstopp,60.39587808663882,5.325283812313046,7,Neumanns gate,Ved Konsertpaleet,60.39138580667719,5.319194867192266
2024-12-01 11:26:35.074000+00:00,2024-12-01 11:34:19.916000+00:00,464,215,Nonneseterplass,ved Jernbanestasjonen og Bystasjonen,60.38967202352878,5.3336050852019525,220,Møllendalsplass,ved KMD Fakultetet,60.379894791874165,5.35207758319504
